Position Title,Date,Apply,Work Model,Location,Company,Salary,Hire Time,Graduate Time,Company Industry,Company Size,Qualifications
"Intern, ASIC Backend Automation",2026-03-26,https://jobright.ai/jobs/info/69c5f667aa3c2c1995e06514?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",Ayar Labs,$44-$55 /hr,,,"AI Infrastructure,Artificial Intelligence (AI)",101-250,"1. Actively pursuing a Ph.D. degree in Computer Science, Electrical Engineering, Computer Engineering, or equivalent.
2. Strong programming skills in Python; familiarity with ML frameworks (specifically JAX, TensorFlow, or PyTorch) is a strong plus.
3. Familiarity with Reinforcement Learning (RL) concepts and/or VLSI physical design fundamentals (specifically floorplanning, placement, and routing).
..."
Software Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69c5f3a8aa3c2c1995e064b5?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
Dallas, TX
Texas, United States",Copart,N/A,,,"Automotive,E-Commerce",5001-10000,"1. Bachelor's degree or higher in computer science, Engineering or similar
2. Strong experience with Spring Boot, MVC and other Spring modules.
3. Experience with Core Java and multithreaded programming.
..."
"Software Engineer, Simulation (Summer Intern)",2026-03-26,https://jobright.ai/jobs/info/69c5f2ca1b5ad0288737b2ae?utm_source=1099&utm_campaign=Software Engineer,On Site,"San Jose, CA",DiDi,$46-$46 /hr,,,"Artificial Intelligence (AI),Mobile Apps",10000+,"1. PhD, Master’s students or senior undergraduate students majoring in Computer Science or a related field.
2. Strong C++ development skills with experience in performance-critical applications.
3. Deep understanding of computer architecture.
..."
Chip/EDA/Software Intern,2026-03-26,https://jobright.ai/jobs/info/69c5f22383ea553769fd158e?utm_source=1099&utm_campaign=Software Engineer,On Site,"Mountain View, CA, US",Silimate (YC S23),$5200-$7000 /mon,,,"Data Center Automation,Software",1-10,"1. Available for 15-40 hours/week in-person in Mountain View, CA
2. Good at writing/shipping high-quality code (Python/C++) quickly
3. Basic VLSI experience (coursework or projects)
..."
AIS R&D Firmware Engineer Intern,2026-03-26,https://jobright.ai/jobs/info/69c5ef66aa9a29199e80bcb2?utm_source=1099&utm_campaign=Software Engineer,On Site,"Arden Hills, MN",Boston Scientific,$43368-$73736 /yr,,,"Health Care,Medical",10000+,"1. Current rising junior or rising senior (grad dates between Dec 2026 - May 2028), graduating senior (May 2026 grad) continuing on to grad school, or current grad student. Must have at least one semester of school left post-internship to qualify.
2. Working towards a Bachelors or Masters degree in Computer Science, Computer Engineering, or Electrical Engineering (with software skills)
3. Must be able to start internship on May 18th or 26th, 2026 and work for 12 weeks
..."
Cloud Support Engineer Internship - 2026 (US),2026-03-26,https://jobright.ai/jobs/info/69c5e9d1aa3c2c1995e05dd3?utm_source=1099&utm_campaign=Software Engineer,On Site,"Herndon, VA",Amazon Web Services (AWS),$34.18-$76.39 /hr,2026,,"Agentic AI,Consulting",10000+,"1. 5+ years of working as a Technical Product Manager experience
2. 7+ years of technical (software development, network development, IT, other related) experience
3. Experience delivering large-scale SaaS, PaaS or LaaS products where you are responsible for the full product lifecycle, from concept through GTM (go to market)
..."
2026 Software Developer Intern,2026-03-26,https://jobright.ai/jobs/info/69c5e379aa9a29199e80b6b0?utm_source=1099&utm_campaign=Software Engineer,Remote,"Multi Location
Remote, AZ
Remote, WA
Remote, TX",BECU,$18-$25 /hr,2026,,,,"1. Currently enrolled full-time in a Bachelor’s or Master’s degree program in Computer Science, Software Engineering, Information Technology, or a related field, or has graduated from one of these programs within the past twelve months.
2. Knowledge of computer science fundamentals such as object-oriented design, data structures, algorithms, or software development concepts, with exposure to modern development tools and technologies, including AI-assisted coding tools."
2026 Software Developer Engineer in Test (SDET) Intern,2026-03-26,https://jobright.ai/jobs/info/69c5de34aa3c2c1995e057bc?utm_source=1099&utm_campaign=Software Engineer,Remote,"Multi Location
Remote, TX
Remote, WA
Remote, AZ",BECU,$18-$25 /hr,,,,,"1. Currently enrolled full-time in a Bachelor’s or Master’s degree program in Computer Science, Software Engineering, Information Technology, or a related field, or has graduated from one of these programs within the past twelve months.
2. Foundational knowledge or exposure to software development, testing concepts, or programming languages."
Software Engineering Intern,2026-03-26,https://jobright.ai/jobs/info/69c5db87aa9a29199e80b46b?utm_source=1099&utm_campaign=Software Engineer,On Site,"Multi Location
San Jose, CA
Pittsburgh, PA
PITTSBURGH 03",Cadence,N/A,,,"Aerospace,Artificial Intelligence (AI)",10000+,"1. Pursuing or recently completed a degree in Computer Science, Applied Mathematics, Data Science, or a related field.
2. Strong foundation in machine learning, deep learning, and natural language processing (NLP) and LLM.
3. Proficiency in Python and experience with frameworks like PyTorch, TensorFlow, SciKit, etc.
..."
"Senior Software Engineer I, Mobile (iOS)- Weights & Biases",2026-03-26,https://jobright.ai/jobs/info/69c5d83fe565c26a70015fec?utm_source=1099&utm_campaign=Software Engineer,Hybrid,"Multi Location
New York, NY
Bellevue, WA
Sunnyvale, CA
Livingston, NJ
San Francisco, CA",Weights & Biases,$139000-$204000 /yr,,,"AI Infrastructure,Artificial Intelligence (AI)",251-500,"1. 4+ years of professional iOS development experience
2. Strong proficiency in Swift and SwiftUI
3. Experience shipping and maintaining apps on the App Store
..."
Fall 2026 Intern Onboard Infrastructure Engineer,2026-03-26,https://jobright.ai/jobs/info/69c5d2dbaa9a29199e80ae14?utm_source=1099&utm_campaign=Software Engineer,On Site,"Mountain View, CA",Kodiak,$10000-$10000 /mon,2026-Fall,,"Autonomous Vehicles,Logistics",101-250,"1. Field(s) of study: Computer Science, Electrical Engineering, Automotive Engineering, Mechanical Engineering, or other related fields.
2. Will consider graduate students at any stage of their Master's or Ph.D. studies.
3. Comfort with fundamental mathematics, linear algebra, and calculus.
..."
Summer Intern – Information Technology Application Development,2026-03-26,https://jobright.ai/jobs/info/69c5cd601818a24cd84bb545?utm_source=1099&utm_campaign=Software Engineer,On Site,"Tampa, FL",American Integrity Insurance Company,N/A,,,Insurance,251-500,"1. Currently enrolled in an accredited college or university.
2. Pursuing a degree in Computer Science, Information Systems, Software Engineering, Business Analytics, or related field.
3. Strong analytical and problem-solving skills.
..."
